TOWNSHIP_RANGE,YEAR,GSE_GWE
T02S R13E,2016,111.825
T02S R13E,2017,105.33500000000001
T02S R13E,2018,121.925
T02S R13E,2019,91.75
T02S R13E,2020,106.44166666666666
T02S R13E,2021,158.75666666666666
T03N R03E,2014,5.418181818181818
T03N R03E,2015,4.291428571428571
T03N R03E,2016,2.7560000000000002
T03N R03E,2017,2.391428571428572
T03N R03E,2018,3.6650000000000005
T03N R03E,2019,3.032
T03N R03E,2020,4.425
T03N R03E,2021,5.3566666666666665
T03N R04E,2014,5.316
T03N R04E,2015,5.316
T03N R04E,2016,5.384
T03N R04E,2017,2.642857142857143
T03N R04E,2018,4.771111111111111
T03N R04E,2019,4.5175
T03N R04E,2020,6.3225
T03N R04E,2021,5.242222222222222
T03N R05E,2014,14.363846153846152
T03N R05E,2015,21.103749999999998
T03N R05E,2016,18.456
T03N R05E,2017,13.283888888888889
T03N R05E,2018,15.263684210526316
T03N R05E,2019,13.855263157894736
T03N R05E,2020,12.564
T03N R05E,2021,15.830833333333333
T03N R06E,2014,41.83335
T03N R06E,2015,43.468849999999996
T03N R06E,2016,52.911454545454546
T03N R06E,2017,48.472545454545454
T03N R06E,2018,45.511153846153846
T03N R06E,2019,45.049827586206895
T03N R06E,2020,47.25114285714286
T03N R06E,2021,52.37113636363636
T03N R07E,2014,106.41046666666666
T03N R07E,2015,110.07113333333334
T03N R07E,2016,100.4559090909091
T03N R07E,2017,98.85428571428572
T03N R07E,2018,91.962
T03N R07E,2019,96.65794117647059
T03N R07E,2020,95.18285714285715
T03N R07E,2021,89.23125
T03N R08E,2014,135.15833333333333
T03N R08E,2015,139.13333333333333
T03N R08E,2016,148.04714285714286
T03N R08E,2017,141.20461538461538
T03N R08E,2018,143.57857142857142
T03N R08E,2019,141.53466666666665
T03N R08E,2020,143.45454545454547
T03N R08E,2021,141.95499999999998
T03N R09E,2014,129.635
T03N R09E,2015,131.5175
T03N R09E,2016,136.66583333333332
T03N R09E,2017,115.24857142857142
T03N R09E,2018,150.746
T03N R09E,2019,190.315
T03N R09E,2020,161.23
T03N R09E,2021,171.11999999999998
T03N R10E,2014,128.42285714285714
T03N R10E,2015,118.68384615384616
T03N R10E,2016,123.52
T03N R10E,2017,59.92
T03N R10E,2018,144.635
T03N R10E,2019,54.045
T03N R10E,2020,192.83333333333334
T03N R10E,2021,88.8
T03S R04E,2014,99.5375
T03S R04E,2015,129.08025
T03S R04E,2016,126.26275000000001
T03S R04E,2017,173.35999999999999
T03S R04E,2018,168.12999999999997
T03S R04E,2019,133.925
T03S R04E,2020,118.75333333333333
T03S R04E,2021,163.33142857142857
T03S R05E,2014,80.31838888888889
T03S R05E,2015,100.99088888888889
T03S R05E,2016,105.34682352941176
T03S R05E,2017,112.74472727272727
T03S R05E,2018,120.22466666666666
T03S R05E,2019,111.69807999999999
T03S R05E,2020,117.41075
T03S R05E,2021,134.0028
T03S R06E,2014,54.4916
T03S R06E,2015,49.07626666666667
T03S R06E,2016,58.939625
T03S R06E,2017,58.392125
T03S R06E,2018,65.567375
T03S R06E,2019,64.97941935483871
T03S R06E,2020,66.93982608695651
T03S R06E,2021,95.785
T03S R07E,2014,15.1772
